student_id,programa,semestre,edad,genero,horas_estudio_semana,horas_sueno_noche,tiempo_desplazamiento_min,medio_transporte,nivel_estres,satisfaccion_academica,dias_ejercicio_semana,horas_sociales_semana,uso_ia_generativa,confianza_programando,area_interes_datos,modalidad_preferida,promedio_acumulado,fecha_encuesta
E0001,Economía,5,21,Mujer,16.8,5.5,61,Bus,4,4,3,7.2,A veces,3,Ingeniería de datos,Presencial,3.47,2026-08-01
E0002,Administración,6,23,Mujer,23.5,7.2,98,TransMilenio,4,4,2,10.8,Nunca,2,No estoy seguro,Presencial,3.69,2026-08-10
E0003,Administración,1,17,Hombre,12.6,6.7,55,TransMilenio,5,4,3,6.8,A veces,4,Analítica de negocio,Presencial,3.26,2026-08-21
E0004,Ciencia de Datos,8,21,Mujer,15.7,6.1,57,Moto,4,3,1,14.3,Nunca,4,Analítica de negocio,Presencial,2.9,2026-08-19
E0005,Diseño,3,22,Mujer,20.5,6.4,50,Carro,5,4,5,11.0,A veces,2,No estoy seguro,Presencial,3.54,2026-08-04
E0006,Ciencia de Datos,4,22,Hombre,23.4,6.0,77,Bus,5,4,5,5.7,A veces,5,Ciencia social computacional,Presencial,3.13,2026-08-10
E0007,Ingeniería de Sistemas,1,20,Hombre,12.6,8.0,79,Caminando,5,4,5,6.0,Frecuentemente,3,Visualización,Híbrida,3.44,2026-08-11
E0008,Ingeniería de Sistemas,4,22,Prefiere no responder,19.8,7.1,33,TransMilenio,4,4,2,0.8,Todos los días,3,,Híbrida,3.54,2026-08-06
E0009,Ingeniería Industrial,5,20,Mujer,8.9,6.5,59,Moto,4,3,1,6.1,A veces,3,Analítica de negocio,Presencial,3.36,2026-08-03
E0010,Administración,5,22,Mujer,18.2,,81,TransMilenio,4,4,2,0,Frecuentemente,3,Analítica de negocio,Presencial,3.84,2026-08-14
E0011,Ingeniería Industrial,1,21,Mujer,8.6,5.9,94,Caminando,5,4,3,5.7,A veces,2,Visualización,Híbrida,3.72,2026-08-18
E0012,Ciencia de Datos,5,20,Mujer,11.9,8.1,78,TransMilenio,3,5,5,2.0,A veces,4,No estoy seguro,Híbrida,3.59,2026-08-10
E0013,Ingeniería de Sistemas,10,22,Hombre,22.4,6.2,31,Carro,5,3,2,12.8,Frecuentemente,4,No estoy seguro,Presencial,3.61,2026-08-06
E0014,Ciencia de Datos,4,24,Mujer,20.9,8.0,39,Carro,4,4,2,3.8,A veces,3,Analítica de negocio,Presencial,4.14,2026-08-05
E0015,Economía,3,22,Hombre,20.8,7.3,145,TransMilenio,4,4,4,15.7,Todos los días,2,Analítica de negocio,Presencial,3.86,2026-08-20
E0016,Psicología,1,20,Hombre,6.8,5.0,30,TransMilenio,5,3,4,3.6,A veces,2,Analítica de negocio,Presencial,3.32,2026-08-09
E0017,Ingeniería de Sistemas,4,25,Mujer,9.5,5.6,76,TransMilenio,4,4,2,2.3,Frecuentemente,4,IA y ML,Híbrida,3.2,2026-08-02
E0018,Administración,3,19,Mujer,13.8,6.2,108,Caminando,5,2,3,10.7,A veces,3,Analítica de negocio,Presencial,2.67,2026-08-05
E0019,Psicología,4,22,Hombre,18.9,7.7,79,Bicicleta,5,3,4,7.5,A veces,2,Ingeniería de datos,Presencial,3.89,2026-08-07
E0020,Administración,4,19,Hombre,17.6,6.9,58,TransMilenio,3,5,4,7.8,Frecuentemente,1,Visualización,Híbrida,4.12,2026-08-04
E0021,Diseño,4,23,Prefiere no responder,23.6,7.2,24,Bus,5,4,3,9.9,Nunca,2,Analítica de negocio,Presencial,3.75,2026-08-07
E0022,Ingeniería Industrial,1,21,Mujer,16.6,6.3,102,Bicicleta,4,4,1,10.4,A veces,3,No estoy seguro,Presencial,3.69,2026-08-06
E0023,Economía,3,22,Mujer,14.0,7.8,16,Bus,3,4,3,0.0,Frecuentemente,3,IA y ML,Presencial,3.15,2026-08-11
E0024,Ciencia de Datos,4,22,Mujer,15.2,7.1,37,TransMilenio,5,4,3,3.4,Todos los días,2,Analítica de negocio,Presencial,3.19,2026-08-05
E0025,Economía,7,22,Hombre,24.2,7.4,84,Carro,5,4,3,10.4,Frecuentemente,2,Ingeniería de datos,Virtual,2.96,2026-08-15
E0026,Economía,1,19,Hombre,6.7,5.1,34,Bicicleta,4,4,2,13.8,Frecuentemente,1,IA y ML,Presencial,3.12,2026-08-10
E0027,Ingeniería Industrial,2,23,Mujer,17.4,7.7,63,Bus,4,4,4,15.1,A veces,3,Ciencia social computacional,Híbrida,4.23,2026-08-19
E0028,Ingeniería de Sistemas,4,22,Hombre,16.6,8.2,0,Bus,3,4,2,6.8,A veces,3,Analítica de negocio,Presencial,3.71,2026-08-13
E0029,Administración,6,18,Prefiere no responder,6.9,6.4,17,TransMilenio,3,3,4,9.8,A veces,3,Analítica de negocio,Presencial,3.54,2026-08-14
E0030,Ingeniería Industrial,3,20,Hombre,15.8,7.7,52,Carro,4,3,3,0,A veces,3,IA y ML,Presencial,3.57,2026-08-19
E0031,Psicología,2,20,Mujer,3.1,5.5,42,Transmilenio,3,4,5,13.2,Todos los días,2,Analítica de negocio,Híbrida,3.35,2026-08-21
E0032,Ingeniería Industrial,6,21,Hombre,14.2,7.4,5,Carro,4,4,2,6.9,Frecuentemente,4,Visualización,Presencial,3.52,2026-08-12
E0033,Economía,5,19,Mujer,16.0,4.5,46,Carro,5,3,2,7.4,Todos los días,2,Ciencia social computacional,Presencial,3.4,2026-08-15
E0034,Economía,3,19,Hombre,11.0,6.4,81,Bus,4,4,0,3.5,Frecuentemente,2,IA y ML,Presencial,3.34,2026-08-18
E0035,Administración,3,18,Hombre,15.9,6.5,,TransMilenio,5,3,2,3.7,Frecuentemente,2,Analítica de negocio,Presencial,3.35,2026-08-04
E0036,Administración,5,20,No binario,25.8,6.6,35,Bicicleta,4,5,3,2.8,Todos los días,3,Analítica de negocio,Presencial,3.41,2026-08-18
E0037,Ciencia de Datos,4,21,Mujer,23.8,6.4,52,TransMilenio,4,4,4,2.5,A veces,5,No estoy seguro,Presencial,3.93,2026-08-19
E0038,Economía,5,22,Hombre,18.5,5.9,136,TransMilenio,5,3,3,5.0,Frecuentemente,2,No estoy seguro,Virtual,3.49,2026-08-10
E0039,Economía,8,24,Mujer,21.4,5.5,51,TransMilenio,5,3,2,2.7,Frecuentemente,3,IA y ML,Presencial,3.28,2026-08-03
E0040,Economía,7,25,Hombre,15.2,5.7,0,Bus,3,4,5,4.4,Nunca,3,Ciencia social computacional,Presencial,3.69,2026-08-10
E0041,Ingeniería de Sistemas,2,20,Mujer,13.2,8.1,17,Caminando,4,4,1,11.0,Frecuentemente,4,No estoy seguro,Presencial,4.08,2026-08-09
E0042,Economía,4,21,Hombre,13.0,6.2,60,Moto,3,5,4,7.6,A veces,2,IA y ML,Presencial,3.59,2026-08-16
E0043,Ingeniería Industrial,7,21,Hombre,15.1,7.0,19,Bus,5,2,2,5.1,A veces,2,IA y ML,Presencial,3.43,2026-08-02
E0044,Ingeniería Industrial,1,16,Mujer,9.3,6.8,38,Moto,3,4,4,12.7,Frecuentemente,5,No estoy seguro,Presencial,3.98,2026-08-04
E0045,Economía,6,25,Mujer,17.0,5.9,21,Bus,4,4,3,2.8,A veces,2,IA y ML,Híbrida,3.61,2026-08-17
E0046,Ingeniería Industrial,2,22,Hombre,14.3,5.8,32,Caminando,3,4,1,14.4,A veces,4,No estoy seguro,Presencial,3.18,2026-08-13
E0047,Ingeniería Industrial,4,20,Hombre,13.6,5.3,21,Caminando,5,4,2,12.4,Frecuentemente,3,No estoy seguro,Híbrida,2.88,2026-08-15
E0048,Ciencia de Datos,5,23,No binario,26.3,8.2,74,TransMilenio,4,4,4,9.9,Frecuentemente,1,Ingeniería de datos,Híbrida,3.61,2026-08-16
